Activity,Timestamp,Value
Cat Detected,6/14 1:58AM,-
Clean Cycle Complete,6/13 8:13PM,-
Clean Cycle In Progress,6/13 8:11PM,-
Weight Recorded,6/13 8:04PM,10.3 lbs
Cat Detected,6/13 8:03PM,-
Clean Cycle Complete,6/13 6:40AM,-
Clean Cycle In Progress,6/13 6:38AM,-
Weight Recorded,6/13 6:31AM,10.3 lbs
Cat Detected,6/13 6:29AM,-
Clean Cycle Complete,6/13 5:12AM,-
Clean Cycle In Progress,6/13 5:10AM,-
Clean Cycle Complete,6/9 9:56PM,-
Clean Cycle In Progress,6/9 9:53PM,-
Weight Recorded,6/9 9:46PM,18.1 lbs
Cat Detected,6/9 9:46PM,-
Clean Cycle Complete,6/9 7:26AM,-
Clean Cycle In Progress,6/9 7:24AM,-
Weight Recorded,6/9 7:17AM,10.3 lbs
Cat Detected,6/9 7:15AM,-
Clean Cycle Complete,6/9 4:11AM,-
Clean Cycle In Progress,6/9 4:09AM,-
Weight Recorded,6/9 4:02AM,18.1 lbs
Cat Detected,6/9 4:01AM,-
Clean Cycle Complete,6/9 3:53AM,-
Clean Cycle In Progress,6/9 3:51AM,-
Weight Recorded,6/9 3:44AM,10.3 lbs
Cat Detected,6/9 3:43AM,-
Clean Cycle Complete,6/9 12:16AM,-
Clean Cycle In Progress,6/9 12:13AM,-
Weight Recorded,6/9 12:06AM,10.3 lbs
Cat Detected,6/9 12:06AM,-
Clean Cycle Complete,6/8 8:35PM,-
Clean Cycle In Progress,6/8 8:33PM,-
Weight Recorded,6/8 8:26PM,10.4 lbs
Cat Detected,6/8 8:25PM,-
Clean Cycle Complete,6/8 1:41AM,-
Clean Cycle In Progress,6/8 1:39AM,-
Weight Recorded,6/8 1:32AM,18.3 lbs
Cat Detected,6/8 1:31AM,-
Clean Cycle Complete,6/8 12:40AM,-
Clean Cycle In Progress,6/8 12:38AM,-
Weight Recorded,6/8 12:31AM,10.3 lbs
Cat Detected,6/8 12:30AM,-
Clean Cycle Complete,6/7 5:41PM,-
Clean Cycle In Progress,6/7 5:39PM,-
Clean Cycle Complete,6/7 7:58AM,-
Clean Cycle In Progress,6/7 7:56AM,-
Weight Recorded,6/7 7:49AM,10.3 lbs
Cat Detected,6/7 7:48AM,-
